ori,des,path,len,time_step
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
206,242,206_196_195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,17,11
395,325,395_7_340_27_72_409_365_362_358_380_377_42_47_355_20_23_73_22_329_89_281_325,22,11
93,8,93_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,16,11
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,11
324,415,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162_415,29,11
109,88,109_108_105_112_114_116_278_275_274_308_386_397_385_90_88,15,11
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
324,242,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,20,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_275_273_372_306,28,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,29,11
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,29,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,29,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
347,306,347_83_78_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,18,11
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,31,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
15,260,15_34_33_31_357_40_50_20_23_73_21_84_80_118_124_116_278_276_267_265_262_261_260,23,11
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
395,392,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,28,11
324,179,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,23,11
324,294,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_223_213_294,23,11
246,240,246_34_33_31_357_40_49_363_355_19_24_348_347_83_77_75_310_237_233_235_245_239_240,23,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
